,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,88.50166666666667,16.0,26.229508196721323,35030.66,88.59773894129847,4508.34,11.402261058701537,45.0,73.77049180327869,88.50166666666667,26.229508196721323,88.59773894129847,48.20653231532891,0.35383886352513905,0.6982530548275843
Desvio Padrão,0.27147830190063005,0.0,3.588782762705772e-15,107.5054075526493,0.2718971333434057,107.5054075526493,0.2718971333434059,0.0,0.0,0.27147830190063005,3.588782762705772e-15,0.2718971333434057,0.07396843584473729,0.00842539301582166,0.016404485444822425
Máximo,89.07323232323232,16.0,26.229508196721312,35257.0,89.17018639823971,4759.0,12.036217405599535,45.0,73.77049180327869,89.07323232323232,26.229508196721312,89.17018639823971,48.362073312005506,0.3722661703117729,0.734113328745125
Mínimo,87.86868686868686,16.0,26.229508196721312,34780.0,87.96378259440047,4282.0,10.829813601760288,45.0,73.77049180327869,87.86868686868686,26.229508196721312,87.96378259440047,48.03380847459879,0.33507853403141363,0.6617038875103392
Mediana,88.45075757575758,16.0,26.229508196721312,35010.5,88.54675130883432,4528.5,11.453248691165683,45.0,73.77049180327869,88.45075757575758,26.229508196721312,88.54675130883432,48.19271458560606,0.352073939788345,0.6948214173742129
