,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,86.91853535353538,17.02,27.90163934426228,34402.72,87.00958547257137,5136.28,12.99041452742861,43.98,72.0983606557377,86.91853535353538,27.90163934426228,87.00958547257137,49.261825449000625,0.33035295633620193,0.6529689827113222
Desvio Padrão,0.35649211561963845,0.6543418566056449,1.0726915682059748,141.490756891446,0.35785112646107964,141.49075689144604,0.35785112646107886,0.6543418566056449,1.072691568205976,0.35649211561963845,1.0726915682059748,0.35785112646107964,0.9024137845057364,0.011481800165897246,0.022637383234184943
Máximo,87.8030303030303,18.0,29.508196721311474,34753.0,87.89549558663597,5380.0,13.606818584182706,45.0,73.77049180327869,87.8030303030303,29.508196721311474,87.89549558663597,50.70379905654136,0.3539454507599417,0.699013157894737
Mínimo,86.30555555555556,16.0,26.229508196721312,34159.0,86.3931814158173,4786.0,12.10450441336402,43.0,70.49180327868852,86.30555555555556,26.229508196721312,86.3931814158173,47.69911265626781,0.304298212248003,0.6016168452716676
Mediana,86.90025252525253,17.0,27.868852459016395,34395.0,86.99006044664762,5144.0,13.009939553352385,44.0,72.1311475409836,86.90025252525253,27.868852459016395,86.99006044664762,49.239819711705884,0.32961731346259704,0.6515287013909223
