,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,89.7769265091578,141.22,86.10975609756099,82353.9,89.7834832379395,9371.1,10.216516762060508,22.78,13.890243902439016,89.7769265091578,86.10975609756099,89.7834832379395,87.92219935329169,1.4925578542528932,2.933970125824984
Desvio Padrão,0.8300410313343881,2.169265840258931,1.3227230733286186,763.951121686807,0.8328712147035229,763.951121686807,0.8328712147035237,2.169265840258931,1.3227230733286166,0.8300410313343881,1.3227230733286186,0.8328712147035229,0.5580205663925305,0.10195750248989009,0.1968051866593263
Máximo,91.14475073186127,145.0,88.41463414634147,83617.0,91.16053420550558,11641.0,12.691196511310984,29.0,17.682926829268293,91.14475073186127,88.41463414634147,91.16053420550558,89.04075016618039,1.6658676893576223,3.2675129290079927
Mínimo,87.30751232465256,135.0,82.3170731707317,80084.0,87.30880348868902,8108.0,8.839465794494412,19.0,11.585365853658537,87.30751232465256,82.3170731707317,87.30880348868902,86.55279680187182,1.2051260290248664,2.3771658156859465
Mediana,89.88126979290232,141.5,86.28048780487805,82449.5,89.88770782229491,9275.5,10.112292177705097,22.5,13.71951219512195,89.88126979290232,86.28048780487805,89.88770782229491,88.03098425944538,1.50630560138121,2.9605510166427136
