,TP,TN,FP,FN,TP_rate,TN_rate,FP_rate,FN_rate,Precision,ACC,Sensitivity,Especificity,MG,F1
pca,83,47000,14120,0,1.0,0.768979057591623,0.23102094240837695,0.0,0.5843835809336055,76.92923549499207,100.0,76.8979057591623,87.69145098535107,1.1619767604647906
mlp-1camadas,82,50125,10995,1,0.9879518072289156,0.8201079842931938,0.1798920157068063,0.012048192771084338,0.7402726369955764,82.03356044638335,98.79518072289157,82.01079842931937,90.01261940446595,1.4695340501792116
mlp-3camadas,83,48599,12521,0,1.0,0.7951407068062827,0.2048592931937173,0.0,0.658521104411298,79.5418525235691,100.0,79.51407068062828,89.1706625974195,1.3084259478206037
ensemble,83,48634,12486,0,1.0,0.7957133507853403,0.2042866492146597,0.0,0.6603548412761556,79.59903926278123,100.0,79.57133507853403,89.20276625673333,1.3120455263989883
