;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;137;56381;6452;28;2,07922294733647;89,71395917330709;83,03030303030303;89,73151051199211;86,31589951554422;4,056855196920344
pca-full;124;59715;3116;41;3,8271604938271606;94,98857070290177;75,15151515151516;95,04066464006621;84,5130164454447;7,283406754772392
mlp-1camadas-retro;121;59472;3361;44;3,4750143595634695;94,59506651004794;73,33333333333333;94,65090000477456;83,31306020276853;6,635590896627365
mlp-1camadas-full;111;61314;1517;54;6,818181818181818;97,50619086926154;67,27272727272727;97,58558673266381;81,0237530728833;12,38148354712772
mlp-3camadas-retro;114;60582;2251;51;4,820295983086681;96,34591574335693;69,0909090909091;96,41748762592906;81,61845301362257;9,011857707509883
mlp-3camadas-full;105;61835;996;60;9,536784741144414;98,32370309225982;63,63636363636363;98,41479524438573;79,13759977008401;16,587677725118485
oc-svm-retro;135;21816;41017;30;0,328052099533437;34,84396330042224;81,81818181818181;34,72060859739309;53,29894058102313;0,6534840380472929
oc-svm-full;115;33418;29413;50;0,3894608507179626;53,23036383262429;69,6969696969697;53,18712100714615;60,88498305086506;0,7745933384972888
if-retro;55;1489;61344;110;0,08957800615645206;2,450871456236706;33,333333333333336;2,369773844954085;8,887770333355238;0,1786758495224482
if-full;51;2523;60308;114;0,0844944415911463;4,085973712616674;30,90909090909091;4,015533733348188;11,140758376905064;0,16852818716542198
ensemble-retro;131;57528;5305;34;2,409860191317145;91,52512778183434;79,39393939393939;91,55698438718508;85,25883924572295;4,677736118550258
ensemble-full;119;60319;2512;46;4,522995058912961;95,93942472537938;72,12121212121212;96,00197354808932;83,20924647127111;8,512160228898427
