,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,80.80965594791157,134.14,82.29447852760737,44421.88,80.80525339251284,10552.12,19.194746607487176,28.86,17.70552147239264,80.80965594791157,82.29447852760737,80.80525339251284,81.52402048079908,1.256638028755557,2.4753705583266625
Desvio Padrão,1.030283247780481,4.67738807281088,2.8695632348533,572.478665140297,1.041362580747803,572.478665140297,1.0413625807478029,4.677388072810879,2.8695632348533,1.030283247780481,2.8695632348533,1.041362580747803,0.9567173041841138,0.029470253337553563,0.05631493850907878
Máximo,82.79376824999547,143.0,87.73006134969326,45527.0,82.81551278786336,11896.0,21.639320406010114,40.0,24.539877300613497,82.79376824999547,87.73006134969326,82.81551278786336,83.29622740874065,1.3106159895150722,2.578853402102758
Mínimo,78.38656437600885,123.0,75.4601226993865,43078.0,78.36067959398989,9447.0,17.184487212136645,20.0,12.269938650306749,78.38656437600885,75.4601226993865,78.36067959398989,79.00976373774472,1.179597939857119,2.327678059175477
Mediana,80.68447684857719,135.5,83.12883435582822,44351.0,80.67631971477425,10623.0,19.32368028522574,27.5,16.87116564417178,80.68447684857719,83.12883435582822,80.67631971477425,81.84753301320849,1.2583578366414292,2.4786520350651386
