,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,89.32444637901953,102.48,62.87116564417173,49148.34,89.40288136209843,5825.66,10.597118637901554,60.52,37.1288343558282,89.32444637901953,62.87116564417173,89.40288136209843,74.97053895810815,1.731277244152397,3.3696095471519154
Desvio Padrão,0.4419192130850569,1.1647895491794005,0.7145948154474858,244.19836450003058,0.44420701513448235,244.19836450003058,0.44420701513448274,1.1647895491794007,0.7145948154474853,0.4419192130850569,0.7145948154474858,0.44420701513448235,0.3746468460017062,0.06598454933010577,0.12469627041111614
Máximo,90.03572918366977,106.0,65.03067484662577,49542.0,90.11896532906465,6170.0,11.223487466802489,62.0,38.03680981595092,90.03572918366977,65.03067484662577,90.11896532906465,76.00879418498714,1.8345323741007193,3.564564039839245
Mínimo,88.70631336489109,101.0,61.96319018404908,48804.0,88.77651253319752,5432.0,9.881034670935351,57.0,34.969325153374236,88.70631336489109,61.96319018404908,88.77651253319752,74.62344210694286,1.6571892770105605,3.2288698955365622
Mediana,89.06904619402579,102.0,62.576687116564415,49008.0,89.14759704587624,5966.0,10.852402954123768,61.0,37.423312883435585,89.06904619402579,62.576687116564415,89.14759704587624,74.9096650207932,1.6933758419455651,3.2979399735326247
