;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;135;46877;8095;28;1,640340218712029;85,26707173301895;82,82208588957056;85,27432147274976;84,03925973728548;3,216966519718813
pca-full;127;49464;5506;36;2,254571276406888;89,94794406253968;77,91411042944786;89,98362743314536;83,7316802928759;4,382332643202208
mlp-1camadas-retro;143;47965;7007;20;2,0;87,25491974245035;87,73006134969326;87,2535108782653;87,49146165384565;3,910843702994667
mlp-1camadas-full;137;50523;4447;26;2,9886561954624784;91,88689169825695;84,04907975460122;91,91013279970893;87,89176344765603;5,772066568358964
mlp-3camadas-retro;116;49673;5299;47;2,142197599261311;90,30379976421511;71,16564417177914;90,36054718765917;80,19081336614694;4,159196844747221
mlp-3camadas-full;108;51827;3143;55;3,322054752383882;94,19948125442113;66,25766871165644;94,28233581953793;79,03750864046819;6,32688927943761
oc-svm-retro;50;17531;37441;113;0,13336534101517697;31,8871859980049;30,67484662576687;31,890780761114748;31,27690535559987;0,265576034418654
oc-svm-full;33;25086;29884;130;0,11030517765818765;45,560734950029925;20,245398773006134;45,63580134618883;30,39597007136444;0,21941489361702127
if-retro;141;959;54013;22;0,26036857849835654;1,995102929173846;86,50306748466258;1,7445244851924617;12,284409602062679;0,5191744757626526
if-full;133;1725;53245;30;0,2491663232043164;3,370032466943573;81,59509202453988;3,1380753138075312;16,00161066924397;0,4968155245512785
ensemble-retro;144;45821;9151;19;1,5492200107584724;83,36809649043258;88,34355828220859;83,35334352033763;85,812184224071;3,0450412349333895
ensemble-full;139;48407;6563;24;2,074007758877947;88,05252752435021;85,2760736196319;88,06076041477169;86,65723217441715;4,0495265841223596
