,TP,TN,FP,FN,TP_rate,TN_rate,FP_rate,FN_rate,Precision,ACC,Sensitivity,Especificity,MG,F1
pca,157,78325,13400,7,0.9573170731707317,0.8539111474516217,0.1460888525483783,0.042682926829268296,1.1580733200560596,85.40957024235763,95.73170731707317,85.39111474516217,90.41370031285345,2.288462940018949
mlp-1camadas,152,72394,19331,12,0.926829268292683,0.7892504769692014,0.21074952303079858,0.07317073170731707,0.7801673253605708,78.94960223748218,92.6829268292683,78.92504769692015,85.52779911052406,1.5473100218862932
mlp-3camadas,151,79119,12606,13,0.9207317073170732,0.8625674570727718,0.13743254292722812,0.07926829268292683,1.1836638708160225,86.26712664192667,92.07317073170732,86.25674570727719,89.11751833544062,2.33728039625416
ensemble,153,77717,14008,11,0.9329268292682927,0.8472826383210684,0.1527173616789316,0.06707317073170732,1.0804321728691477,84.74354928228624,93.29268292682927,84.72826383210685,88.90740718651895,2.136125654450262
