,ACC1,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
5 neurônios,92.80762659295455,133.0,81.09756097560975,85147.0,92.82856364131916,6578.0,7.17143635868084,31.0,18.902439024390244,92.80762659295455,81.09756097560975,92.82856364131916,86.76502809415871,1.9818208910743556,3.8690909090909096
15 neurônios,89.70932320517146,138.0,84.14634146341463,82295.0,89.71926955573726,9430.0,10.280730444262742,26.0,15.853658536585366,89.70932320517146,84.14634146341463,89.71926955573726,86.888136657919,1.4423076923076923,2.8360049321824907
25 neurônios,88.04971215270598,144.0,87.8048780487805,80764.0,88.05014990460616,10961.0,11.94985009539384,20.0,12.195121951219512,88.04971215270598,87.8048780487805,88.05014990460616,87.9274284540995,1.2967131922557407,2.5556837341379004
35 neurônios,87.24765749980955,145.0,88.41463414634147,80026.0,87.24557100027255,11699.0,12.754428999727446,19.0,11.585365853658537,87.24765749980955,88.41463414634147,87.24557100027255,87.82815744895116,1.2242485646740966,2.415056628914057
45 neurônios,85.3551567652276,149.0,90.85365853658537,78283.0,85.34532570182611,13442.0,14.65467429817389,15.0,9.146341463414634,85.3551567652276,90.85365853658537,85.34532570182611,88.05643121889152,1.0963137370318594,2.1664849145765177
55 neurônios,85.78175842592694,149.0,90.85365853658537,78675.0,85.772690106296,13050.0,14.227309893704007,15.0,9.146341463414634,85.78175842592694,90.85365853658537,85.772690106296,88.27662600417945,1.128873399499962,2.2300381650826906
65 neurônios,85.13206150899455,150.0,91.46341463414635,78077.0,85.12074134641591,13648.0,14.879258653584083,14.0,8.536585365853659,85.13206150899455,91.46341463414635,85.12074134641591,88.23510446377429,1.0871140745035512,2.1486892995272884
75 neurônios,83.13943997649338,148.0,90.2439024390244,76248.0,83.12673753066231,15477.0,16.873262469337693,16.0,9.75609756097561,83.13943997649338,90.2439024390244,83.12673753066231,86.61224619989645,0.9472,1.8747229083539174
85 neurônios,81.43847468140909,152.0,92.6829268292683,74681.0,81.4183701281003,17044.0,18.5816298718997,12.0,7.317073170731708,81.43847468140909,92.6829268292683,81.4183701281003,86.86824990260253,0.8839264945336125,1.751152073732719
95 neurônios,81.68986494574976,151.0,92.07317073170732,74913.0,81.67130008176615,16812.0,18.328699918233852,13.0,7.926829268292683,81.68986494574976,92.07317073170732,81.67130008176615,86.71640880657453,0.8901727288805046,1.7632977170549424
105 neurônios,81.64306935541795,150.0,91.46341463414635,74871.0,81.62551103843009,16854.0,18.37448896156991,14.0,8.536585365853659,81.64306935541795,91.46341463414635,81.62551103843009,86.40455983819385,0.8821453775582216,1.7474370922646787
