,ACC1,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
5 neurônios,92.88253968253969,115.0,69.6969696969697,58401.0,92.94342325137264,4434.0,7.056576748627357,50.0,30.303030303030305,92.88253968253969,69.6969696969697,92.94342325137264,80.48524680886273,2.5280281380523193,4.87908358082308
15 neurônios,91.86349206349206,123.0,74.54545454545455,57751.0,91.9089679318851,5084.0,8.091032068114904,42.0,25.454545454545453,91.86349206349206,74.54545454545455,91.9089679318851,82.77315864026201,2.3622047244094486,4.579300074460163
25 neurônios,90.93333333333334,126.0,76.36363636363636,57162.0,90.97159226545715,5673.0,9.028407734542851,39.0,23.636363636363637,90.93333333333334,76.36363636363636,90.97159226545715,83.3481948885539,2.1727884117951373,4.225352112676056
35 neurônios,90.0904761904762,130.0,78.78787878787878,56627.0,90.12015596403279,6208.0,9.879844035967215,35.0,21.21212121212121,90.0904761904762,78.78787878787878,90.12015596403279,84.26372840338212,2.0511202272010096,3.9981546978317697
45 neurônios,88.78412698412698,128.0,77.57575757575758,55806.0,88.8135593220339,7029.0,11.186440677966102,37.0,22.424242424242426,88.78412698412698,77.57575757575758,88.8135593220339,83.00469352636793,1.7884588514740813,3.4963124829281615
55 neurônios,87.57301587301588,137.0,83.03030303030303,55034.0,87.58494469642714,7801.0,12.41505530357285,28.0,16.96969696969697,87.57301587301588,83.03030303030303,87.58494469642714,85.27722145471603,1.725875535399345,3.3814636554362583
65 neurônios,86.64761904761905,137.0,83.03030303030303,54451.0,86.65711784833293,8384.0,13.342882151667064,28.0,16.96969696969697,86.64761904761905,83.03030303030303,86.65711784833293,84.82432879003385,1.60779251261589,3.154501496661294
75 neurônios,86.45079365079366,136.0,82.42424242424242,54328.0,86.46136707249144,8507.0,13.538632927508553,29.0,17.575757575757574,86.45079365079366,82.42424242424242,86.46136707249144,84.41867494763493,1.5735277102857803,3.0881017257039054
85 neurônios,84.67460317460318,141.0,85.45454545454545,53204.0,84.67255510463913,9631.0,15.327444895360866,24.0,14.545454545454545,84.67460317460318,85.45454545454545,84.67255510463913,85.06265166888397,1.4428980761358985,2.837878635403039
95 neurônios,83.20952380952382,143.0,86.66666666666667,52279.0,83.20044561152224,10556.0,16.79955438847776,22.0,13.333333333333334,83.20952380952382,86.66666666666667,83.20044561152224,84.91587181635673,1.336573511543135,2.6325478645066274
105 neurônios,82.23174603174603,144.0,87.27272727272727,51662.0,82.21850879287021,11173.0,17.781491207129783,21.0,12.727272727272727,82.23174603174603,87.27272727272727,82.21850879287021,84.70793052985353,1.2724220199699567,2.508273819892005
