,ACC1,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
5 neurônios,91.53650793650793,120.0,72.72727272727273,57548.0,91.58589957826052,5287.0,8.414100421739477,45.0,27.272727272727273,91.53650793650793,72.72727272727273,91.58589957826052,81.61367959233775,2.2193452931385242,4.307250538406317
15 neurônios,91.47460317460317,122.0,73.93939393939394,57507.0,91.5206493196467,5328.0,8.479350680353306,43.0,26.060606060606062,91.47460317460317,73.93939393939394,91.5206493196467,82.26166387591782,2.238532110091743,4.345503116651825
25 neurônios,88.69365079365079,131.0,79.39393939393939,55746.0,88.71807113869659,7089.0,11.281928861303413,34.0,20.606060606060606,88.69365079365079,79.39393939393939,88.71807113869659,83.92661772723169,1.814404432132964,3.5477318889641163
35 neurônios,89.18253968253968,133.0,80.60606060606061,56052.0,89.20506087371687,6783.0,10.794939126283122,32.0,19.393939393939394,89.18253968253968,80.60606060606061,89.20506087371687,84.79663049410719,1.9230769230769231,3.7565315633385117
45 neurônios,88.33333333333333,130.0,78.78787878787878,55520.0,88.35839898145937,7315.0,11.641601018540623,35.0,21.21212121212121,88.33333333333333,78.78787878787878,88.35839898145937,83.43602836210657,1.7461383478844863,3.4165571616294352
55 neurônios,88.4888888888889,130.0,78.78787878787878,55618.0,88.51436301424366,7217.0,11.485636985756345,35.0,21.21212121212121,88.4888888888889,78.78787878787878,88.51436301424366,83.50963360087583,1.7694296991969511,3.461128860489883
65 neurônios,86.75396825396825,139.0,84.24242424242425,54516.0,86.7605633802817,8319.0,13.23943661971831,26.0,15.757575757575758,86.75396825396825,84.24242424242425,86.7605633802817,85.49222296673206,1.6434145187987703,3.2239359851559786
75 neurônios,88.25396825396825,132.0,80.0,55468.0,88.27564255590038,7367.0,11.724357444099626,33.0,20.0,88.25396825396825,80.0,88.27564255590038,84.03601254505136,1.7602346979597279,3.4446764091858033
85 neurônios,87.64285714285714,135.0,81.81818181818181,55080.0,87.65815230365243,7755.0,12.341847696347577,30.0,18.181818181818183,87.64285714285714,81.81818181818181,87.65815230365243,84.68784235665771,1.7110266159695817,3.35195530726257
95 neurônios,87.36190476190477,135.0,81.81818181818181,54903.0,87.37646216280736,7932.0,12.623537837192647,30.0,18.181818181818183,87.36190476190477,81.81818181818181,87.37646216280736,84.55166034955231,1.67348456675344,3.279883381924198
105 neurônios,86.1968253968254,139.0,84.24242424242425,54165.0,86.20195750775841,8670.0,13.798042492241585,26.0,15.757575757575758,86.1968253968254,84.24242424242425,86.20195750775841,85.2165586895881,1.577931660801453,3.097838199242255
