,ACC1,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
5 neurônios,92.10986389556068,73.0,87.95180722891567,56301.0,92.11551047120419,4819.0,7.884489528795812,10.0,12.048192771084338,92.10986389556068,87.95180722891567,92.11551047120419,90.009586265889,1.4922322158626329,2.934673366834171
15 neurônios,88.14110419423885,81.0,97.59036144578313,53864.0,88.1282722513089,7256.0,11.8717277486911,2.0,2.4096385542168677,88.14110419423885,97.59036144578313,88.1282722513089,92.73871868102134,1.1039934578165462,2.183288409703504
25 neurônios,89.94166952600362,80.0,96.3855421686747,54967.0,89.93291884816755,6153.0,10.067081151832461,3.0,3.6144578313253013,89.94166952600362,96.3855421686747,89.93291884816755,93.10334656709206,1.283491095780523,2.53324889170361
35 neurônios,85.55462967501593,83.0,100.0,52279.0,85.53501308900523,8841.0,14.464986910994764,0.0,0.0,85.55462967501593,100.0,85.53501308900523,92.48514101681698,0.9300761990138952,1.8430109914510937
45 neurônios,88.10679215071157,81.0,97.59036144578313,53843.0,88.09391361256544,7277.0,11.906086387434556,2.0,2.4096385542168677,88.10679215071157,97.59036144578313,88.09391361256544,92.72063886009337,1.1008426202772492,2.177126730278188
55 neurônios,85.42718494191462,83.0,100.0,52201.0,85.40739528795811,8919.0,14.592604712041885,0.0,0.0,85.42718494191462,100.0,85.40739528795811,92.41612158490429,0.9220173294823373,1.8271876719867912
65 neurônios,86.68856101825074,83.0,100.0,52973.0,86.67048429319372,8147.0,13.329515706806284,0.0,0.0,86.68856101825074,100.0,86.67048429319372,93.09698399690171,1.008505467800729,1.9968723685793335
75 neurônios,86.59706223551133,83.0,100.0,52917.0,86.5788612565445,8203.0,13.421138743455497,0.0,0.0,86.59706223551133,100.0,86.5788612565445,93.04776260423702,1.0016895969104513,1.9835105747401123
85 neurônios,85.99905233403591,83.0,100.0,52551.0,85.98003926701571,8569.0,14.019960732984293,0.0,0.0,85.99905233403591,100.0,85.98003926701571,92.72542222444486,0.9593157651410079,1.9004006868918146
95 neurônios,84.58572292207899,83.0,100.0,51686.0,84.56479057591623,9434.0,15.43520942408377,0.0,0.0,84.58572292207899,100.0,84.56479057591623,91.95911622885261,0.8721235683513713,1.7291666666666667
105 neurônios,85.25072300377433,83.0,100.0,52093.0,85.23069371727749,9027.0,14.769306282722512,0.0,0.0,85.25072300377433,100.0,85.23069371727749,92.32047103285245,0.9110867178924259,1.8057217448058305
