,ACC1,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
5 neurônios,92.87878787878788,11.0,18.0327868852459,36769.0,92.9942588330509,2770.0,7.005741166949088,50.0,81.9672131147541,92.87878787878788,18.0327868852459,92.9942588330509,40.95052687191953,0.39554117224020136,0.7741027445460943
15 neurônios,91.36616161616162,15.0,24.59016393442623,36166.0,91.46918232631073,3373.0,8.530817673689269,46.0,75.40983606557377,91.36616161616162,24.59016393442623,91.46918232631073,47.42617619365811,0.4427390791027155,0.8698173383589447
25 neurônios,90.03535353535354,15.0,24.59016393442623,35639.0,90.1363211006854,3900.0,9.863678899314602,46.0,75.40983606557377,90.03535353535354,24.59016393442623,90.1363211006854,47.079368223372924,0.3831417624521073,0.7545271629778671
35 neurônios,88.72474747474747,16.0,26.229508196721312,35119.0,88.82116391411012,4420.0,11.17883608588988,45.0,73.77049180327869,88.72474747474747,26.229508196721312,88.82116391411012,48.26733312425163,0.3606853020739405,0.7115855014454081
45 neurônios,88.20454545454545,16.0,26.229508196721312,34913.0,88.30015933635146,4626.0,11.69984066364855,45.0,73.77049180327869,88.20454545454545,26.229508196721312,88.30015933635146,48.125562366424646,0.34467901766479964,0.6804167552625984
55 neurônios,88.11363636363636,16.0,26.229508196721312,34877.0,88.20910999266547,4662.0,11.79089000733453,45.0,73.77049180327869,88.11363636363636,26.229508196721312,88.20910999266547,48.10074400233442,0.3420265070542967,0.6752479426039248
65 neurônios,86.47727272727273,16.0,26.229508196721312,34229.0,86.57022180631782,5310.0,13.429778193682187,45.0,73.77049180327869,86.47727272727273,26.229508196721312,86.57022180631782,47.65180313965879,0.3004130679684566,0.5940226471134212
75 neurônios,87.54797979797979,16.0,26.229508196721312,34653.0,87.64258074306382,4886.0,12.35741925693619,45.0,73.77049180327869,87.54797979797979,26.229508196721312,87.64258074306382,47.946029971020565,0.3263973888208894,0.6447713076768083
85 neurônios,87.31060606060606,16.0,26.229508196721312,34559.0,87.40484079010596,4980.0,12.595159209894028,45.0,73.77049180327869,87.31060606060606,26.229508196721312,87.40484079010596,47.88095642254032,0.32025620496397117,0.6327862368993474
95 neurônios,86.73232323232324,16.0,26.229508196721312,34330.0,86.8256657983257,5209.0,13.174334201674297,45.0,73.77049180327869,86.73232323232324,26.229508196721312,86.8256657983257,47.72205478332811,0.3062200956937799,0.6053726825576996
105 neurônios,84.88131313131314,19.0,31.147540983606557,33594.0,84.96421254963454,5945.0,15.035787450365461,42.0,68.85245901639344,84.88131313131314,31.147540983606557,84.96421254963454,51.44342807910064,0.31857813547954394,0.6307053941908713
