,ACC1,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
5 neurônios,89.10531947693926,102.0,62.576687116564415,49028.0,89.18397788045257,5946.0,10.816022119547423,61.0,37.423312883435585,89.10531947693926,62.576687116564415,89.18397788045257,74.70500572006993,1.6865079365079365,3.2844952503622604
15 neurônios,86.9470591435878,109.0,66.87116564417178,47831.0,87.00658493105831,7143.0,12.993415068941681,54.0,33.12883435582822,86.9470591435878,66.87116564417178,87.00658493105831,76.27733446482317,1.5030336458907887,2.9399865138233308
25 neurônios,83.10753214719698,120.0,73.61963190184049,45703.0,83.13566413213519,9271.0,16.86433586786481,43.0,26.380368098159508,83.10753214719698,73.61963190184049,83.13566413213519,78.23309396491254,1.2778191885848154,2.512036843207034
35 neurônios,82.96606634383446,123.0,75.4601226993865,45622.0,82.98832175210099,9352.0,17.011678247899006,40.0,24.539877300613497,82.96606634383446,75.4601226993865,82.98832175210099,79.13475179735958,1.2981530343007917,2.5523967628138617
45 neurônios,81.57317227995719,131.0,80.3680981595092,44846.0,81.5767453705388,10128.0,18.4232546294612,32.0,19.631901840490798,81.57317227995719,80.3680981595092,81.5767453705388,80.97016660148817,1.2769275757871137,2.513912876607177
55 neurônios,82.03021564466692,131.0,80.3680981595092,45098.0,82.03514388620074,9876.0,17.96485611379925,32.0,19.631901840490798,82.03021564466692,80.3680981595092,82.03514388620074,81.19734291450455,1.3090836414509843,2.576204523107178
65 neurônios,81.61125922701635,132.0,80.98159509202453,44866.0,81.61312620511515,10108.0,18.386873794884856,31.0,19.01840490797546,81.61125922701635,80.98159509202453,81.61312620511515,81.29674741671361,1.2890625,2.53772950110545
75 neurônios,80.28728440067468,135.0,82.82208588957056,44133.0,80.27976861789209,10841.0,19.720231382107904,28.0,17.177914110429448,80.28728440067468,82.82208588957056,80.27976861789209,81.54101968743039,1.2299562682215743,2.4239159709130087
85 neurônios,79.06124743819939,143.0,87.73006134969326,43449.0,79.03554407538108,11525.0,20.96445592461891,20.0,12.269938650306749,79.06124743819939,87.73006134969326,79.03554407538108,83.26940092578766,1.2255742200891326,2.4173780745499114
95 neurônios,81.13063822841286,133.0,81.59509202453988,44600.0,81.12926110524975,10374.0,18.870738894750247,30.0,18.404907975460123,81.13063822841286,81.59509202453988,81.12926110524975,81.36184318073047,1.2658227848101267,2.4929709465791943
105 neurônios,80.6282532600613,133.0,81.59509202453988,44323.0,80.62538654636738,10651.0,19.374613453632627,30.0,18.404907975460123,80.6282532600613,81.59509202453988,80.62538654636738,81.10879012021414,1.2333086053412463,2.429889467434
