;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;116;63122;2533;22;4,379010947527369;96,11660814980317;84,05797101449275;96,14195415429137;89,89715009708658;8,324363114459993
pca-full;105;64588;1065;33;8,974358974358974;98,33107871897371;76,08695652173913;98,37783498088434;86,51745519196328;16,05504587155963
mlp-1camadas-retro;113;63657;1998;25;5,3529133112269065;96,92520480902223;81,8840579710145;96,95681973954764;89,10228868125847;10,04891062694531
mlp-1camadas-full;98;64878;775;40;11,22565864833906;98,76122873949325;71,01449275362319;98,81955127716937;83,77123795246695;19,386745796241343
mlp-3camadas-retro;103;63474;2181;35;4,509632224168126;96,63186053227547;74,6376811594203;96,6780900159927;84,9460326190423;8,505367464905035
mlp-3camadas-full;84;64762;891;54;8,615384615384615;98,5636333237069;60,869565217391305;98,64286475865535;77,48772992969457;15,09433962264151
oc-svm-retro;84;40074;25581;54;0,3272939801285798;61,03688842278054;60,869565217391305;61,037240118802835;60,95334501158277;0,6510870828973376
oc-svm-full;72;53174;12479;66;0,5736594693649908;80,93204237661686;52,17391304347826;80,99249082296315;65,00534726752862;1,134841201040271
if-retro;38;920;64735;100;0,05866641965016288;1,4560819540072651;27,536231884057973;1,4012641839920799;6,211725646004593;0,11708339110474343
if-full;19;1584;64069;119;0,029646735738359756;2,4365034731194237;13,768115942028986;2,4126848735015916;5,763516727654172;0,059166069815962376
ensemble-retro;117;63085;2570;21;4,354298474134723;96,06189108263797;84,78260869565217;96,085598964283;90,25734174168973;8,283185840707965
ensemble-full;104;64601;1052;34;8,996539792387543;98,34931829581554;75,3623188405797;98,39763605623506;86,11314662482906;16,0741885625966
