;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;75;57875;3243;8;2,2603978300180834;94,68799529419454;90,36144578313252;94,69387087273799;92,50229769504034;4,410467509556013
pca-full;72;59908;1208;11;5,625;98,00813738786582;86,74698795180723;98,02343085280451;92,21300003352587;10,564930300807044
mlp-1camadas-retro;71;58875;2243;12;3,0682800345721692;96,31541968268492;85,5421686746988;96,33005006708335;90,77599567771551;5,924071756362119
mlp-1camadas-full;64;60268;848;19;7,017543859649122;98,58331018480695;77,10843373493977;98,61247463839257;87,20007721380138;12,8643216080402
mlp-3camadas-retro;73;58601;2517;10;2,8185328185328187;95,87098250028595;87,95180722891567;95,88173696783272;91,83121499015692;5,462027684249907
mlp-3camadas-full;68;60132;984;15;6,4638783269961975;98,36762038595401;81,92771084337349;98,3899469860593;89,78230965267441;11,982378854625551
oc-svm-retro;4;23854;37264;79;0,010733068584308253;38,98302315321645;4,819277108433735;39,02941850191433;13,71472140226537;0,021418435918717033
oc-svm-full;0;34094;27022;83;0,0;55,71006062190558;0,0;55,785718960664965;0,0;0,0
if-retro;42;1079;60039;41;0,06990562740300595;1,831669417166386;50,602409638554214;1,7654373506986485;9,451739734633879;0,13961837643773686
if-full;18;1869;59247;65;0,030372057706909643;3,0833837154201866;21,686746987951807;3,058118986844689;8,143749304021599;0,06065916290355193
ensemble-retro;73;57980;3138;10;2,273435066957334;94,85629319782356;87,95180722891567;94,86566968814425;91,34334728404501;4,432301153612628
ensemble-full;68;59950;1166;15;5,510534846029174;98,07022990571741;81,92771084337349;98,09215262778977;89,64633576724493;10,32649962034928
