;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;124;60099;2734;41;4,338698390482855;95,59509825708753;75,15151515151516;95,64878328266994;84,78296400864716;8,203771088322858
pca-full;120;61541;1290;45;8,51063829787234;97,88081782970347;72,72727272727273;97,94687335869237;84,40029011526717;15,238095238095235
mlp-1camadas-retro;123;60397;2436;42;4,8065650644783116;96,06654179497762;74,54545454545455;96,12305635573664;84,64949455452603;9,030837004405287
mlp-1camadas-full;120;61716;1115;45;9,7165991902834;98,15861324528541;72,72727272727273;98,2253982906527;84,52020663858606;17,142857142857142
mlp-3camadas-retro;123;60165;2668;42;4,40702257255464;95,69827613575035;74,54545454545455;95,75382362771155;84,48675817424316;8,322056833558863
mlp-3camadas-full;120;61636;1195;45;9,125475285171103;98,0316210553051;72,72727272727273;98,09807260747084;84,46540878101126;16,216216216216214
oc-svm-retro;143;34952;27881;22;0,5102769055095633;55,70811771802279;86,66666666666667;55,62682030143396;69,43335720524352;1,0145801553797582
oc-svm-full;127;47967;14864;38;0,8471749716496565;76,34452981141659;76,96969696969697;76,34288806480878;76,65565184733495;1,675903932435999
if-retro;55;1536;61297;110;0,08964662928673882;2,5254769992698183;33,333333333333336;2,444575302786752;9,026950948477845;0,17881236081083277
if-full;46;2467;60364;119;0,07614633338851183;3,989142167756683;27,87878787878788;3,92640575512088;10,46247739175894;0,15187783739166322
ensemble-retro;124;59611;3222;41;3,7059175134488944;94,8204704911267;75,15151515151516;94,87212133751373;84,43804630705608;7,063514668185703
ensemble-full;121;61325;1506;44;7,4370006146281495;97,53952631913137;73,33333333333333;97,60309401410132;84,60236537887556;13,504464285714285
