;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;145;87884;3839;19;3,639558232931727;95,80136471971008;88,41463414634147;95,81457213566935;92,04026478266698;6,991321118611379
pca-full;138;90262;1459;26;8,641202254226675;98,38384937693857;84,14634146341463;98,40930648379324;90,99880827001576;15,672913117546848
mlp-1camadas-retro;140;83553;8170;24;1,6847172081829123;91,08252527561027;85,36585365853658;91,092746639338;88,18282190408672;3,304224687278735
mlp-1camadas-full;133;87120;4601;31;2,8094634558512888;94,95891603634979;81,09756097560975;94,98370057020747;87,76643121764414;5,430788076766028
mlp-3camadas-retro;132;89330;2393;32;5,227722772277228;97,36088891791005;80,48780487804878;97,39105785898848;88,53695534533037;9,817776124953513
mlp-3camadas-full;126;90778;943;38;11,786716557530402;98,93236110355336;76,82926829268293;98,97188212077933;87,200557824415;20,437956204379564
oc-svm-retro;96;43729;47994;68;0,19962570180910794;47,69445079282162;58,53658536585366;47,675065141785595;52,8274125856526;0,3978944750694243
oc-svm-full;79;58561;33160;85;0,23767261349619423;63,81890406486369;48,170731707317074;63,8468834836079;55,45765136243339;0,47301140616112325
if-retro;57;1606;90117;107;0,0632111251580278;1,8098316410373612;34,75609756097561;1,7509239776282939;7,800979719772412;0,1261927428103345
if-full;49;2720;89001;115;0,055025266704098824;3,013549545627687;29,878048780487806;2,9655149856630434;9,412959226561433;0,10984823009841506
ensemble-retro;141;85457;6266;23;2,200717964726081;93,15572387824176;85,97560975609755;93,16856186561714;89,49985428197708;4,291584233754375
ensemble-full;134;88176;3545;30;3,6422941016580594;96,1092670185558;81,70731707317073;96,13501815287665;88,62806784564422;6,9737184491282855
