;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;25;36820;2717;36;0,9117432530999271;93,04762866811456;40,98360655737705;93,12795609176214;61,77960433636221;1,7838030681412773
pca-full;15;38415;1120;46;1,3215859030837005;97,05525810687948;24,59016393442623;97,16706715568483;48,88101994011267;2,5083612040133776
mlp-1camadas-retro;28;37580;1957;33;1,4105793450881612;94,97449366129602;45,90163934426229;95,05020613602449;66,05270835971514;2,737047898338221
mlp-1camadas-full;15;38764;771;46;1,9083969465648856;97,93666026871401;24,59016393442623;98,04982926520805;49,10255976396718;3,541912632821724
mlp-3camadas-retro;25;37545;1992;36;1,2394645513138325;94,8785292186474;40,98360655737705;94,96168146293346;62,38487149224426;2,4061597690086622
mlp-3camadas-full;13;38743;792;48;1,6149068322981366;97,87857359329224;21,311475409836067;97,99671177437713;45,69961174041231;3,002309468822171
oc-svm-retro;29;24459;15078;32;0,19196399020321706;61,8415071468256;47,540983606557376;61,86357083238485;54,23149460217291;0,3823839662447257
oc-svm-full;17;33061;6474;44;0,2619010938222154;83,53874128699869;27,868852459016395;83,62463639812825;48,275487089394844;0,518925518925519
if-retro;57;1203;38334;4;0,14847229819488944;3,181978887822617;93,44262295081967;3,0427194779573563;16,861781902393474;0,2964735254343077
if-full;53;2129;37406;8;0,14148802690942097;5,51065764218608;86,88524590163935;5,385101808524093;21,630670235546994;0,2825159914712154
ensemble-retro;32;36887;2650;29;1,1931394481730053;93,23450679327239;52,459016393442624;93,29741760882212;69,95920782718356;2,333211811884798
ensemble-full;19;38468;1067;42;1,7495395948434622;97,19921204162037;31,147540983606557;97,30112558492475;55,05171020874367;3,3129904097646032
