;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;142;55298;7535;23;1,849680864921193;88,00279373948379;86,06060606060606;88,00789394108192;87,02880379901272;3,6215251211425654
pca-full;132;59072;3759;33;3,392444101773323;93,98057019493301;80,0;94,01728446149194;86,72590591581823;6,508875739644971
mlp-1camadas-retro;127;58893;3940;38;3,122694861076961;93,68551382583574;76,96969696969697;93,72940970509127;84,93717832698147;6,001890359168241
mlp-1camadas-full;121;60997;1834;44;6,189258312020461;97,01885834021208;73,33333333333333;97,08105871305565;84,3758119306559;11,415094339622643
mlp-3camadas-retro;123;59874;2959;42;3,990914990266061;95,23635670973681;74,54545454545455;95,29069119730079;84,2821920055081;7,57622420696027
mlp-3camadas-full;118;61478;1353;47;8,021753908905506;97,77763667534447;71,51515151515152;97,84660438318664;83,65114905192087;14,425427872860633
oc-svm-retro;146;33034;29799;19;0,48756052763399566;52,66833867741833;88,48484848484848;52,574284213709355;68,2057737500971;0,9697774825639321
oc-svm-full;132;46293;16538;33;0,7918416316736653;73,69515524795226;80,0;73,67859814422816;76,77426555518622;1,5681615681615682
if-retro;49;1142;61691;116;0,07936507936507936;1,8905362074986507;29,696969696969695;1,8175162732958796;7,3467493282278955;0,15830708343429448
if-full;42;1845;60986;123;0,06882086910926133;2,9954282811607085;25,454545454545453;2,9364485683818495;8,645574796322725;0,13727060284673084
ensemble-retro;137;56422;6411;28;2,0922419059254733;89,77904060446363;83,03030303030303;89,79676284754827;86,34727807158828;4,081632653061224
ensemble-full;125;59774;3057;40;3,9283469516027654;95,08381484538701;75,75757575757575;95,13456733141284;84,89501865111815;7,469375560203168
