,TP,TN,FP,FN,TP_rate,TN_rate,FP_rate,FN_rate,Precision,ACC,Sensitivity,Especificity,MG,F1
pca,130,50917,11918,35,0.7878787878787878,0.8103286384976526,0.18967136150234742,0.21212121212121213,1.0790172642762283,81.02698412698413,78.78787878787878,81.03286384976526,79.90248716297879,2.128879063293212
mlp-1camadas,137,51362,11473,28,0.8303030303030303,0.8174106787618366,0.18258932123816343,0.1696969696969697,1.1800172265288544,81.74444444444444,83.03030303030303,81.74106787618365,82.38316354559406,2.326963906581741
mlp-3camadas,129,53246,9589,36,0.7818181818181819,0.8473939683297526,0.15260603167024747,0.21818181818181817,1.3274336283185841,84.72222222222223,78.18181818181819,84.73939683297526,81.39459512788679,2.610543357280178
ensemble,130,52020,10815,35,0.7878787878787878,0.8278825495344951,0.1721174504655049,0.21212121212121213,1.187756966651439,82.77777777777777,78.78787878787878,82.78825495344951,80.7633022871922,2.34023402340234
