;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;131;62817;2838;7;4,412260020208825;95,67583177541684;94,92753623188406;95,67740461503313;95,30173289697406;8,432571612487932
pca-full;125;64396;1257;13;9,044862518089724;98,069644784241;90,57971014492753;98,08538832955082;94,2578699331964;16,44736842105263
mlp-1camadas-retro;126;64235;1420;12;8,15006468305304;97,82347666165093;91,30434782608695;97,83717919427309;94,5143366874947;14,96437054631829
mlp-1camadas-full;118;65117;536;20;18,04281345565749;99,15489960632914;85,5072463768116;99,18358643169391;92,0918854272766;29,797979797979796
mlp-3camadas-retro;125;64083;1572;13;7,365939893930466;97,59092912619883;90,57971014492753;97,6056659812657;94,02708616715537;13,623978201634879
mlp-3camadas-full;117;65052;601;21;16,295264623955433;99,05458193369914;84,78260869565217;99,08458105494037;91,65505585265682;27,336448598130843
oc-svm-retro;76;35710;29945;62;0,2531561240465008;54,39180459927348;55,072463768115945;54,39037392430127;54,73035626853127;0,5039954905666634
oc-svm-full;61;49093;16560;77;0,3670055953312075;74,71234667355718;44,20289855072464;74,77647632248336;57,49206029412579;0,7279670624738948
if-retro;79;1392;64263;59;0,12278138696341426;2,2358001611113645;57,2463768115942;2,1201736349097557;11,016907860649976;0,24503722084367244
if-full;46;2523;63130;92;0,07281246042801064;3,904789408885714;33,333333333333336;3,8429317776796186;11,31802659135655;0,14530751492560887
ensemble-retro;128;63298;2357;10;5,150905432595573;96,4023528338881;92,7536231884058;96,41002208514203;94,56415208772903;9,759817003431186
ensemble-full;120;64709;944;18;11,278195488721805;98,53779392318098;86,95652173913044;98,56213729761016;92,57764651672021;19,966722129783694
