;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;30;38286;1251;31;2,34192037470726;96,76246275064398;49,18032786885246;96,83587525608924;69,0102897730604;4,470938897168406
pca-full;18;39120;415;43;4,157043879907621;98,84331750681888;29,508196721311474;98,95029720500823;54,03558860193548;7,287449392712551
mlp-1camadas-retro;22;38818;719;39;2,968960863697706;98,08576190716703;36,0655737704918;98,18145028707286;59,50605295448774;5,486284289276808
mlp-1camadas-full;12;39330;205;49;5,529953917050691;99,35852106273362;19,672131147540984;99,48147211331731;44,23813475005043;8,633093525179856
mlp-3camadas-retro;19;38764;773;42;2,398989898989899;97,9418152431941;31,147540983606557;98,04486936287527;55,2617099510367;4,454865181711606
mlp-3camadas-full;10;39332;203;51;4,694835680751174;99,35852106273362;16,39344262295082;99,48653092196788;40,38473395264234;7,299270072992702
oc-svm-retro;34;24514;15023;27;0,22580859400943082;61,99302995100763;55,73770491803279;62,002681032956474;58,786793921269734;0,44979494642148427
oc-svm-full;24;32989;6546;37;0,365296803652968;83,37458329124154;39,34426229508197;83,44251928670798;57,297332969159;0,7238727190469009
if-retro;52;797;38740;9;0,13404825737265416;2,144047679175716;85,24590163934427;2,015833270101424;13,10883384074967;0,2676755977659383
if-full;45;1429;38106;16;0,1179523472517103;3,7225982422466917;73,77049180327869;3,6145187808271153;16,329262937861085;0,2355281063540249
ensemble-retro;32;38409;1128;29;2,7586206896551726;97,07813525935653;52,459016393442624;97,14697625009485;71,38791788305012;5,241605241605241
ensemble-full;20;39186;349;41;5,420054200542006;99,01505202545712;32,78688524590164;99,11723789047679;57,006539138995244;9,30232558139535
