;TP;TN;FP;FN;TP_rate;TN_rate;FP_rate;FN_rate;Precision;ACC;Sensitivity;Especificity;MG;F1
pca;149;36014;18960;14;0,9141104294478528;0,6551096882162477;0,3448903117837523;0,0858895705521472;0,7797372965618296;65,58753649999093;91,41104294478528;65,51096882162477;77,38492091039463;1,5462847654628478
mlp-1camadas;142;39543;15431;21;0,8711656441717791;0,7193036708262087;0,2806963291737912;0,1288343558282208;0,911834585500546;71,97526162105301;87,11656441717791;71,93036708262088;79,1601317425912;1,8047788510421965
mlp-3camadas;126;44743;10231;37;0,7730061349693251;0,8138938407247063;0,1861061592752937;0,2269938650306748;1,216568504393164;81,37729655222446;77,30061349693251;81,38938407247062;79,3186568276307;2,3954372623574143
ensemble;142;39673;15301;21;0,8711656441717791;0,7216684250736712;0,2783315749263288;0,1288343558282208;0,9195104578126012;72,21103795999056;87,11656441717791;72,16684250736712;79,2901468284514;1,8198128924772523
oc-svm;142;14348;40626;21;0,8711656441717791;0,2609961072507003;0,7390038927492997;0,1288343558282208;0,3483124018838304;26,279993470809075;87,11656441717791;26,09961072507004;47,68341870077932;0,6938506266643863
if;134;900;54074;29;0,8220858895705522;0,0163713755593553;0,9836286244406448;0,1779141104294478;0,2471959858323494;1,875328726626404;82,20858895705521;1,6371375559355332;11,60115375305673;0,4929098232513657
