,TP,TN,FP,FN,TP_rate,TN_rate,FP_rate,FN_rate,Precision,ACC,Sensitivity,Especificity,MG,F1
pca,137,51934,13723,1,0.9927536231884058,0.7909895365307583,0.20901046346924165,0.007246376811594203,0.9884559884559885,79.14127213314082,99.27536231884058,79.09895365307584,88.6147689888671,1.9574224889269898
mlp-1camadas,137,57306,8351,1,0.9927536231884058,0.8728086875732975,0.1271913124267024,0.007246376811594203,1.614043355325165,87.30602629379132,99.27536231884058,87.28086875732976,93.08512163276731,3.1764433109204733
mlp-3camadas,136,58530,7127,2,0.9855072463768116,0.8914510257855217,0.10854897421447827,0.014492753623188406,1.872504474734958,89.16483015426704,98.55072463768116,89.14510257855217,93.7300083058608,3.67517902986083
ensemble,137,57249,8408,1,0.9927536231884058,0.8719405394702774,0.12805946052972264,0.007246376811594203,1.6032767700409596,87.21939357094004,99.27536231884058,87.19405394702774,93.03881608038502,3.1555913854658524
