,TP,TN,FP,FN,TP_rate,TN_rate,FP_rate,FN_rate,Precision,ACC,Sensitivity,Especificity,MG,F1
pca,83,50230,10890,0,1.0,0.8218259162303665,0.1781740837696335,0.0,0.7564020778273945,82.20675457085437,100.0,82.18259162303664,90.65461467737681,1.5014471780028944
mlp-1camadas,81,51548,9572,2,0.9759036144578314,0.8433900523560209,0.15660994764397906,0.024096385542168676,0.8391173728374599,84.35697596523046,97.59036144578313,84.33900523560209,90.72306214475019,1.6639276910435499
mlp-3camadas,82,51823,9297,1,0.9879518072289156,0.8478893979057591,0.15211060209424085,0.012048192771084338,0.8742936347158545,84.80793425158897,98.79518072289157,84.78893979057591,91.52452474562389,1.7332487846121327
ensemble,82,51537,9583,1,0.9879518072289156,0.8432100785340314,0.1567899214659686,0.012048192771084338,0.8484221417485773,84.34063689688413,98.79518072289157,84.32100785340315,91.27162324410213,1.6823963890028724
