;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;139;56754;6079;26;2,2354454808620137;90,30921616559256;84,24242424242425;90,32514761351518;87,23078243955707;4,355318815603948
pca-full;131;59924;2907;34;4,312047399605003;95,33144961584863;79,39393939393939;95,37330298737884;87,01759728457097;8,179831408054948
mlp-1camadas-retro;123;60175;2658;42;4,4228694714131604;95,71414965554462;74,54545454545455;95,76973883150573;84,49377913724811;8,350305498981669
mlp-1camadas-full;118;61638;1193;47;9,000762776506484;98,0316210553051;71,51515151515152;98,10125574955038;83,75993176188555;15,989159891598918
mlp-3camadas-retro;119;60422;2411;46;4,703557312252965;96,0998761865456;72,12121212121212;96,1628443652221;83,27893429099157;8,831168831168831
mlp-3camadas-full;115;61757;1074;50;9,671993271656854;98,21575973077655;69,6969696969697;98,29065270328341;82,7681136848975;16,986706056129982
oc-svm-retro;146;33090;29743;19;0,4884740205426746;52,757230388266294;88,48484848484848;52,66340935495679;68,26356127150783;0,9715844812670528
oc-svm-full;132;46363;16468;33;0,7951807228915663;73,80627341418503;80,0;73,7900081170123;76,83228910660533;1,574709215627796
if-retro;56;1180;61653;109;0,09074851318284205;1,961967046572907;33,93939393939394;1,8779940477137809;7,983606941802369;0,1810130264731551
if-full;45;2068;60763;120;0,0740034206025523;3,354181217855102;27,272727272727273;3,2913689102513093;9,474418538528765;0,14760631755039116
ensemble-retro;134;57741;5092;31;2,5641025641025643;91,86799580939078;81,21212121212122;91,89597822800121;86,38904631235887;4,971248376924503
ensemble-full;124;60517;2314;41;5,086136177194422;96,26166740745444;75,15151515151516;96,31710461396445;85,07864800727864;9,527468305801
