;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;137;87955;3768;27;3,508322663252241;95,86992719318293;83,53658536585365;95,89197911101904;89,50133238621812;6,733841238633571
pca-full;130;90291;1430;34;8,333333333333334;98,40670403221418;79,26829268292683;98,44092410680214;88,3359721974903;15,081206496519725
mlp-1camadas-retro;137;87412;4311;27;3,0800359712230216;95,27898396944073;83,53658536585365;95,2999792854573;89,22463143630064;5,941023417172593
mlp-1camadas-full;131;89950;1771;33;6,887486855941114;98,03667628013278;79,8780487804878;98,0691444707319;88,50746807978312;12,681510164569216
mlp-3camadas-retro;137;88926;2797;27;4,6693933197000685;96,92665991924864;83,53658536585365;96,95060126685782;89,9940119063469;8,84441575209813
mlp-3camadas-full;131;90673;1048;33;11,11111111111111;98,82352941176471;79,8780487804878;98,85740452022982;88,862458780856;19,508562918838418
oc-svm-retro;96;43774;47949;68;0,19981267561660943;47,74342398815937;58,53658536585366;47,724125900810044;52,85458702708323;0,3982658839635753
oc-svm-full;79;58588;33133;85;0,23786583162712271;63,848288621646624;48,170731707317074;63,876320580892056;55,47043447777137;0,4733940556088207
if-retro;47;2962;88761;117;0,05292316007566886;3,274674328251004;28,658536585365855;3,2292881828985096;9,620118166336969;0,1056512161129344
if-full;34;4943;86778;130;0,03916509238354145;5,416553300321054;20,73170731707317;5,389169328725155;10,570084257245899;0,07818248712288448
ensemble-retro;137;87220;4503;27;2,9525862068965516;95,07003166933299;83,53658536585365;95,0906533802863;89,12658685037303;5,7035803497085755
ensemble-full;131;89854;1867;33;6,556556556556557;97,93219785601568;79,8780487804878;97,96447923594378;88,46022524933905;12,11840888066605
