,q,L,ACC1,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,92.64285714285714,10.695745783435015,62.26994246361243,165.45238095238096,98.52519869864761,44186.23809523809,62.1840481651404,26902.880952380954,37.81595183485958,2.4523809523809526,1.4748013013523875,62.26994246361243,98.52519869864761,62.1840481651404,77.45678510465744,0.6450158172509112,1.2813617794684102
Desvio Padrão,15.425385204616491,1.4864978483025448,12.54765116749691,11.474685565493523,0.7522603229924976,8934.489022225584,12.579299179760751,9097.18363869905,12.579299179760751,1.2337209423247941,0.7522603229924972,12.54765116749691,0.7522603229924976,12.579299179760751,11.16264769704328,0.11740223660662708,0.23215244925253098
Máximo,125.0,13.871243844425408,72.76775054427979,172.0,100.0,51640.0,72.70884079805134,69966.0,96.47422197096094,5.0,2.9069767441860463,72.76775054427979,100.0,72.70884079805134,84.02095673407005,0.8542199488491049,1.6935402089037623
Mínimo,31.0,7.303617590035888,3.7540408556296856,123.0,97.09302325581395,2557.0,3.5257780290390635,19383.0,27.291159201948666,0.0,0.0,3.7540408556296856,97.09302325581395,3.5257780290390635,18.777055224499563,0.2452308306481508,0.48926184042099274
Mediana,93.5,10.62824461131018,65.13659667111455,169.5,98.76070991432069,46204.5,65.05568618616505,24818.5,34.94431381383495,2.0,1.2392900856793148,65.13659667111455,98.76070991432069,65.05568618616505,80.0950804336296,0.6564131982995477,1.3041901264903275
