;Acurácia;Num_VP;VP_rate;Num_VN;VN_rate;Num_FP;FP_rate;Num_FN;FN_rate;ACC2;Sensibilidade;Especificidade;MG;Precisão;F1
Média;86,31890593598354;82,34;99,2048192771084;52747,42;86,30140706806283;8372,58;13,698592931937178;0,66;0,7951807228915666;86,31890593598354;99,2048192771084;86,30140706806283;92,5267507025426;0,9756713563260064;1,932300200774246
Desvio Padrão;0,6199443062393452;0,5573259772323189;0,6714770810027916;379,7276193509753;0,6212820997234548;379,72761935097526;0,6212820997234544;0,5573259772323188;0,6714770810027939;0,6199443062393452;0,6714770810027916;0,6212820997234548;0,3086143218984796;0,041235401070551;0,0807998310119199
Máximo;87,76203780860415;83,0;100,0;53632,0;87,74869109947645;8963,0;14,664594240837696;2,0;2,409638554216868;87,76203780860415;100,0;87,74869109947645;93,03705286783963;1,0716152639832723;2,1202327084680026
Mínimo;85,35529304119079;81,0;97,59036144578312;52157,0;85,3354057591623;7488,0;12,25130890052356;0,0;0,0;85,35529304119079;97,59036144578312;85,3354057591623;91,8673887033486;0,9121245828698554;1,8075608949630773
Mediana;86,33155237488359;82,0;98,79518072289156;52755,0;86,31380890052355;8365,0;13,68619109947644;1,0;1,2048192771084338;86,33155237488359;98,79518072289156;86,31380890052355;92,58813090899382;0,972975823247968;1,927085984784063
