,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,86.08270836396909,82.72,99.66265060240963,52602.48,86.06426701570683,8517.52,13.935732984293194,0.28,0.33734939759036153,86.08270836396909,99.66265060240963,86.06426701570683,92.60967834819473,0.9681440810151254,1.9175255975995122
Desvio Padrão,1.165793969435708,0.6401530429259452,0.7712687264168012,713.9754823435852,1.16815360331084,713.9754823435852,1.1681536033108393,0.6401530429259451,0.7712687264168014,1.165793969435708,0.7712687264168012,1.16815360331084,0.4352720054719135,0.0776735795866315,0.1521790164897749
Máximo,88.68846298384067,83.0,100.0,54199.0,88.67637434554973,9808.0,16.047120418848166,2.0,2.4096385542168677,88.68846298384067,100.0,88.67637434554973,93.46356767037834,1.1568123393316196,2.2865208186309105
Mínimo,83.9746417659265,81.0,97.59036144578313,51312.0,83.95287958115183,6921.0,11.323625654450261,0.0,0.0,83.9746417659265,97.59036144578313,83.95287958115183,91.62580399710107,0.8391466990193105,1.6643272508522158
Mediana,85.94595036191036,83.0,100.0,52518.5,85.92686518324606,8601.5,14.073134816753928,0.0,0.0,85.94595036191036,100.0,85.92686518324606,92.66849853050684,0.9557276982307594,1.893359993443382
