;ACC1;Num_VP;VP_rate;Num_VN;VN_rate;Num_FP;FP_rate;Num_FN;FN_rate;ACC2;Sensibilidade;Especificidade;MG;Precisão;F1
Média;65,45783581850931;164,97619047619048;98,23210250523316;46464,42857142857;65,38000761851;24624,69047619048;34,61999238148999;2,9285714285714284;1,7678974947668329;65,45783581850931;98,23210250523316;65,38000761851;79,53914712290491;0,7128989392429315;1,4150363087503428
Desvio Padrão;12,454129822225848;11,646182448397866;0,917143958048338;8850,950240132983;12,4863205917555;8963,708777520596;12,4863205917555;1,4548968137555178;0,9171439580483376;12,454129822225848;0,917143958048338;12,4863205917555;9,501417182736253;0,1542264148121086;0,3042628995518015
Máximo;77,06299599690989;172,0;100,0;54698,0;77,01448826436507;62602,0;88,14327752981428;6,0;3,937007874015748;77,06299599690989;100,0;77,01448826436507;86,47294085485129;1,012612175600291;2,004320691310609
Mínimo;12,069667813750966;122,0;96,06299212598424;8421,0;11,856722470185714;16325,0;22,985511735634937;0,0;0,0;12,069667813750966;96,06299212598424;11,856722470185714;34,43359184021573;0,2739987893076751;0,5465001747529629
Mediana;68,75342369548423;169,0;98,25581395348836;48790,5;68,68710304574148;22242,5;31,31289695425853;3,0;1,744186046511628;68,75342369548423;98,25581395348836;68,68710304574148;81,91208524708556;0,7054675935457702;1,4009357638279578
