;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;143;45271;9701;20;1,452661519707436;82,36873129591004;87,73006134969326;82,35283417012297;84,99893642902836;2,8579994004197062
pca-full;135;48166;6804;28;1,9455252918287937;87,60814757042061;82,82208588957056;87,62233945788611;85,1884083923755;3,8017459870459027
mlp-1camadas-retro;137;48176;6796;26;1,9760565411798645;87,62673437925093;84,04907975460122;87,63734264716582;85,8244603923203;3,861330326944758
mlp-1camadas-full;130;50671;4299;33;2,9351998193723188;92,14263689623274;79,75460122699387;92,17937056576315;85,74222379217684;5,662020905923345
mlp-3camadas-retro;136;47568;7404;27;1,8037135278514589;86,52217284846286;83,43558282208589;86,53132503820126;84,96935645825309;3,531091782422433
mlp-3camadas-full;129;50354;4616;34;2,718651211801897;91,56584985398945;79,14110429447852;91,60269237766055;85,14422018619624;5,256723716381418
oc-svm-retro;116;18361;36611;47;0,3158439295341302;33,512288020313775;71,16564417177914;33,400640325984135;48,75426221930308;0,628896719978314
oc-svm-full;94;26186;28784;69;0,32550730660018007;47,66655179293708;57,668711656441715;47,63689285064581;52,41334026765231;0,6473606280775456
if-retro;129;847;54125;34;0,23777048696870276;1,7702004171578851;79,14110429447852;1,5407843993305683;11,042616485359163;0,47411654446220847
if-full;112;1540;53430;51;0,20918157707967577;2,9963905464966536;68,71165644171779;2,801528106239767;13,87435175955126;0,4170933805046085
ensemble-retro;146;44680;10292;17;1,398735389921441;81,30225809376984;89,57055214723927;81,27774139561959;85,32345617757272;2,7544571266861615
ensemble-full;141;47733;7237;22;1,9110870154513417;86,8336567935719;86,50306748466258;86,83463707476805;86,66869371857894;3,739557087919374
