;TP;TN;FP;FN;TP_rate;TN_rate;FP_rate;FN_rate;Precision;ACC;Sensitivity;Especificity;MG;F1
pca;146;85077;6648;18;0,8902439024390244;0,927522485690924;0,072477514309076;0,1097560975609756;2,148954960259052;92,74559522902632;89,02439024390245;92,7522485690924;90,86920475394469;4,19660822075309
mlp-1camadas;140;85627;6098;24;0,8536585365853658;0,9335186699373126;0,0664813300626873;0,1463414634146341;2,2443090734209683;93,33761386020088;85,36585365853658;93,35186699373126;89,26960186165296;4,373633239612621
mlp-3camadas;136;86336;5389;28;0,8292682926829268;0,9412482965385665;0,0587517034614336;0,1707317073170731;2,4615384615384617;94,10484388773412;82,92682926829268;94,12482965385664;88,34859183151988;4,781156618034804
ensemble;140;85859;5866;24;0,8536585365853658;0,9360479694739712;0,0639520305260289;0,1463414634146341;2,331002331002331;93,59009239408417;85,36585365853658;93,6047969473971;89,39045473622188;4,53808752025932
oc-svm;67;24248;67477;97;0,4085365853658536;0,2643554101935132;0,7356445898064867;0,5914634146341463;0,0991945990761577;26,46127392832657;40,85365853658536;26,435541019351323;32,86317948760397;0,1979086666272818
if;64;1013;90712;100;0,3902439024390244;0,0110438811665303;0,9889561188334696;0,6097560975609756;0,0705032167092623;1,1720662973805351;39,02439024390244;1,104388116653039;6,564912249603695;0,1407521442709478
