,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,92.67399999999998,114.94,69.66060606060604,58269.68,92.73443144744171,4565.32,7.265568552558285,50.06,30.33939393939394,92.67399999999998,69.66060606060604,92.73443144744171,80.37336769218969,2.4563604334532743,4.745356302921587
Desvio Padrão,0.10862879894116313,0.6824326235712107,0.41359552943709493,68.44853272827008,0.1089337673721185,68.44853272827008,0.10893376737211759,0.6824326235712107,0.4135955294370981,0.10862879894116313,0.41359552943709493,0.1089337673721185,0.2421028274640025,0.038714484713321305,0.07255655033550878
Máximo,93.0,116.0,70.3030303030303,58475.0,93.061192010822,4681.0,7.449669770032625,51.0,30.90909090909091,93.0,70.3030303030303,93.061192010822,80.79358314746284,2.569832402234637,4.956896551724139
Mínimo,92.49047619047619,114.0,69.0909090909091,58154.0,92.55033022996737,4360.0,6.938807989178006,49.0,29.696969696969695,92.49047619047619,69.0909090909091,92.55033022996737,80.00202548127818,2.397831526271893,4.63616206409998
Mediana,92.6563492063492,115.0,69.6969696969697,58257.5,92.71504734622424,4577.5,7.284952653775762,50.0,30.303030303030305,92.6563492063492,69.6969696969697,92.71504734622424,80.39941117298008,2.4502369954733094,4.733491473578077
