,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,91.52513108898849,129.68,93.97101449275362,60089.28,91.5199902523722,5567.72,8.480009747627822,8.32,6.0289855072463805,91.52513108898849,93.97101449275362,91.5199902523722,92.73608693498073,2.286944905980632,4.464741658323061
Desvio Padrão,0.6256390002614868,0.8675557971822273,0.6286636211465427,411.86767441071385,0.6273020004123151,411.86767441071385,0.6273020004123154,0.8675557971822273,0.6286636211465414,0.6256390002614868,0.6286636211465427,0.6273020004123151,0.3811141640362701,0.15380826315476942,0.29334814918217866
Máximo,92.52374800516756,133.0,96.3768115942029,60747.0,92.5217417792467,6599.0,10.05071812601855,10.0,7.246376811594203,92.52374800516756,96.3768115942029,92.5217417792467,93.72435024358235,2.560031752331812,4.983581224647479
Mínimo,89.95820351090508,128.0,92.7536231884058,59058.0,89.94928187398145,4910.0,7.478258220753309,5.0,3.6231884057971016,89.95820351090508,92.7536231884058,89.94928187398145,91.92862532655991,1.9319363947094665,3.7862239697102082
Mediana,91.71593586138763,130.0,94.20289855072464,60214.5,91.7107086830041,5442.5,8.289291316995904,8.0,5.797101449275362,91.71593586138763,94.20289855072464,91.7107086830041,92.7931852384636,2.317610336958241,4.523078890167497
