;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;132;47318;7654;31;1,6953506293347034;86,06148544481727;80,98159509202453;86,07654806083097;83,49021596559326;3,3211724745250977
pca-full;125;49810;5160;38;2,3651844843897822;90,57188979377142;76,68711656441718;90,61306167000181;83,35978900252898;4,588839941262848
mlp-1camadas-retro;139;49152;5820;24;2,332606141970129;89,40056225628004;85,2760736196319;89,41279196681947;87,31993947718544;4,540999673309376
mlp-1camadas-full;131;51509;3461;32;3,6469933184855234;93,6644115139753;80,3680981595092;93,70383845734037;86,78017796168848;6,977363515312915
mlp-3camadas-retro;104;52506;2466;59;4,046692607003891;95,42033191257822;63,80368098159509;95,51407989521938;78,06503623828765;7,610684229784119
mlp-3camadas-full;97;53716;1254;66;7,179866765358994;97,60578963597119;59,50920245398773;97,71875568491905;76,25723057917598;12,813738441215326
oc-svm-retro;58;17904;37068;105;0,15622474815493184;32,57821710347329;35,58282208588957;32,56930801135123;34,042736265295254;0,31108369760519183
oc-svm-full;37;25575;29395;126;0,12571350910573525;46,45493624508008;22,699386503067483;46,525377478624705;32,49765415516039;0,2500422368643352
if-retro;90;1649;53323;73;0,16849830565592647;3,1540763580302893;55,214723926380366;2,999708942734483;12,869658159119023;0,3359713304464686
if-full;78;2804;52166;85;0,14929944108414364;5,22735929479622;47,852760736196316;5,100964162270329;15,623546895024642;0,29767015856660367
ensemble-retro;143;47154;7818;20;1,7962567516643637;85,78398476466855;87,73006134969326;85,77821436367606;86,74864845398135;3,520433284096504
ensemble-full;137;49690;5280;26;2,529075133837918;90,37599985489634;84,04907975460122;90,39476077860651;87,16419252238386;4,910394265232975
