;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;134;88030;3693;30;3,5014371570420697;95,94828430572333;81,70731707317073;95,97374704272647;88,55369772245727;6,715108995239289
pca-full;128;90368;1353;36;8,642808912896692;98,48832780105566;78,04878048780488;98,52487434720511;87,69119847803182;15,562310030395137
mlp-1camadas-retro;135;87528;4195;29;3,1177829099307157;95,4030493976297;82,3170731707317;95,42644701983144;88,62971184515054;6,008010680907877
mlp-1camadas-full;129;89901;1820;35;6,618778860954335;97,98117211732057;78,65853658536585;98,01572159047547;87,8053143190402;12,210127780407003
mlp-3camadas-retro;129;89520;2203;35;5,5317324185248715;97,56439975186915;78,65853658536585;97,59820328598062;87,6181022610983;10,336538461538462
mlp-3camadas-full;121;90933;788;43;13,311331133113312;99,09560864123632;73,78048780487805;99,14087286444762;85,52579705176879;22,553588070829452
oc-svm-retro;68;59398;32325;96;0,20992189670607847;64,71644519899442;41,46341463414634;64,7580214341005;51,8178414603411;0,4177289062260036
oc-svm-full;47;69511;22210;117;0,2111695197016669;75,70114817434838;28,658536585365855;75,7852618266264;46,60359104929472;0,4192498104455644
if-retro;43;3114;88609;121;0,04850426386319542;3,435741726250721;26,21951219512195;3,3950045244922213;9,434795309513502;0,09682940010808863
if-full;30;5294;86427;134;0,03469933030292515;5,794199270827665;18,29268292682927;5,771851593419173;10,275341896945873;0,0692672677526235
ensemble-retro;134;87532;4191;30;3,098265895953757;95,40631427731888;81,70731707317073;95,43080797618917;88,30286114197749;5,970149253731343
ensemble-full;128;89956;1765;36;6,7617538298996305;98,03994123088643;78,04878048780488;98,07568604790615;87,49107206763382;12,445308701993195
