;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;101;64649;1006;37;9,123757904245709;98,41472497074157;73,18840579710145;98,46774807706953;84,89226999080259;16,224899598393574
pca-full;75;65407;246;63;23,364485981308412;99,5303308963232;54,34782608695652;99,62530272797892;73,58273320909325;32,67973856209151
mlp-1camadas-retro;117;65029;626;21;15,746971736204577;99,01661270955877;84,78260869565217;99,046531109588;91,63745571394887;26,56072644721907
mlp-1camadas-full;106;65527;126;32;45,689655172413794;99,75984557158274;76,81159420289855;99,80808188506238;87,55808291599972;57,2972972972973
mlp-3camadas-retro;128;65049;606;10;17,438692098092645;99,06373018406214;92,7536231884058;99,07699337445739;95,86318433107988;29,357798165137616
mlp-3camadas-full;121;65510;143;17;45,833333333333336;99,7568056421091;87,68115942028986;99,78218817114222;93,53618523512321;60,19900497512438
oc-svm-retro;123;37870;27785;15;0,4407338397592088;57,74626480020671;89,1304347826087;57,68029853019572;71,70125582154758;0,877130428581616
oc-svm-full;112;52027;13626;26;0,8152569515213277;79,24944141295921;81,15942028985508;79,24542671317381;80,19671372733039;1,6142980686076678
if-retro;34;1732;63923;104;0,05316071735697422;2,6841761281595304;24,63768115942029;2,638032137689437;8,061947326589047;0,10609251891723223
if-full;12;3130;62523;126;0,01918925401775006;4,775729203082489;8,695652173913043;4,767489680593423;6,438666943176996;0,03829400220190513
ensemble-retro;127;64707;948;11;11,813953488372093;98,54239812746037;92,02898550724638;98,55608864519077;95,2366360891603;20,939818631492166
ensemble-full;118;65409;244;20;32,59668508287293;99,59872930948002;85,5072463768116;99,62834904726364;92,29813534465013;47,2
