;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;25;38316;1221;36;2,0064205457463884;96,82559725238649;40,98360655737705;96,91175354731011;63,02216418188483;3,825554705432288
pca-full;14;39134;401;47;3,3734939759036147;98,8685725830892;22,950819672131146;98,98570886556216;47,66343624091312;5,882352941176471
mlp-1camadas-retro;24;38606;931;37;2,513089005235602;97,55543209252993;39,34426229508197;97,64524369577863;61,98209483257172;4,724409448818898
mlp-1camadas-full;11;39244;291;50;3,642384105960265;99,13880189918173;18,0327868852459;99,26394334134311;42,30845702295895;6,060606060606061
mlp-3camadas-retro;26;38504;1033;35;2,4551463644948064;97,30289408555987;42,622950819672134;97,38725750562764;64,42772917870933;4,642857142857142
mlp-3camadas-full;13;39222;313;48;3,9877300613496933;99,08829174664108;21,311475409836067;99,20829644618692;45,98124802748006;6,718346253229974
oc-svm-retro;34;24517;15020;27;0,2258535937292414;62,00060609121673;55,73770491803279;62,01026886207856;58,79039094718126;0,4498842209725438
oc-svm-full;24;32999;6536;37;0,36585365853658536;83,39983836751188;39,34426229508197;83,46781332996079;57,30601661999302;0,724966017217943
if-retro;57;1377;38160;4;0,14914828479472486;3,6213950199505027;93,44262295081967;3,48281356703847;18,040045314598714;0,29782120277966456
if-full;52;2429;37106;9;0,1399429463372625;6,265784422668957;85,24590163934427;6,143923106108511;22,885459680395773;0,27942717429270003
ensemble-retro;34;38244;1293;27;2,562170308967596;96,66649830799535;55,73770491803279;96,72964564838;73,42675565470178;4,899135446685879
ensemble-full;23;39099;436;38;5,010893246187364;98,80290938478635;37,704918032786885;98,89717971417731;61,06480209414298;8,846153846153847
