;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;145;89601;2122;19;6,396118217909131;97,66996419515274;88,41463414634147;97,68651265222464;92,93501642103689;11,92924722336487
pca-full;139;90952;769;25;15,308370044052863;99,13587636719812;84,7560975609756;99,16158785883276;91,67632854158418;25,93283582089552
mlp-1camadas-retro;137;89331;2392;27;5,417160933175168;97,36741867728841;83,53658536585365;97,39214809807791;90,19871115242694;10,174526550315633
mlp-1camadas-full;131;90829;892;33;12,805474095796676;98,993306850955;79,8780487804878;99,0274855267605;88,93886844071957;22,072451558550966
mlp-3camadas-retro;138;89700;2023;26;6,385932438685794;97,7700871722877;84,14634146341463;97,79444632207843;90,71408310424124;11,870967741935482
mlp-3camadas-full;132;90922;799;32;14,178302900107411;99,09560864123632;80,48780487804878;99,12887997296149;89,32337851337265;24,109589041095887
oc-svm-retro;67;42562;49161;97;0,13610140570407087;46,392852090067144;40,853658536585364;46,40275612441808;43,539893820075186;0,27129899578879174
oc-svm-full;50;58176;33545;114;0,1488316713796696;63,36834086085868;30,48780487804878;63,42713228159309;43,974470240986406;0,29621730501495896
if-retro;54;1401;90322;110;0,05975037620607241;1,583466649253975;32,926829268292686;1,5274249642946698;7,091774179953747;0,11928429423459244
if-full;43;2239;89482;121;0,04803127617983803;2,483539206616967;26,21951219512195;2,44109854886013;8,000275818453554;0,09588689805884779
ensemble-retro;145;89003;2720;19;5,061082024432809;97,01916484377551;88,41463414634147;97,0345496767441;92,62437157262838;9,574116870254208
ensemble-full;139;90691;1030;25;11,890504704875962;98,85182565162975;84,7560975609756;98,8770292517526;91,54469475508115;20,855213803450862
