;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;75;59927;1191;8;5,924170616113744;98,04088168493979;90,36144578313252;98,05131057953467;94,1278820801664;11,11934766493699
pca-full;72;60787;329;11;17,955112219451372;99,44443536659095;86,74698795180723;99,46167942928201;92,88703411735375;29,752066115702483
mlp-1camadas-retro;71;60317;801;12;8,142201834862385;98,67159033349128;85,5421686746988;98,68942046532936;91,88093954598786;14,86910994764398
mlp-1camadas-full;66;60898;218;17;23,239436619718308;99,6160067974967;79,51807228915662;99,64330126317168;89,01372496966464;35,967302452316076
mlp-3camadas-retro;68;60565;553;15;10,950080515297907;99,07191058969624;81,92771084337349;99,09519290552701;90,1035088680365;19,318181818181817
mlp-3camadas-full;61;60978;138;22;30,65326633165829;99,73855781957222;73,49397590361446;99,77419988219124;85,63178523156093;43,262411347517734
oc-svm-retro;11;25809;35309;72;0,03114382785956965;42,18885312331498;13,25301204819277;42,22814882685952;23,656926367878956;0,06214162641584047
oc-svm-full;1;35660;25456;82;0,003928192638566995;58,2705599764702;1,2048192771084338;58,348059427973034;8,384441948078024;0,00783085356303837
if-retro;25;694;60424;58;0,04135717712451819;1,1748174049443636;30,120481927710845;1,135508360875683;5,8482526503666525;0,08260093834665962
if-full;11;1254;59862;72;0,018372221201543266;2,067027239007173;13,25301204819277;2,0518358531317493;5,214691293113042;0,03669357528854493
ensemble-retro;75;60218;900;8;7,6923076923076925;98,51636411169753;90,36144578313252;98,52743872508917;94,35614348047538;14,177693761814744
ensemble-full;72;60864;252;11;22,22222222222222;99,57025441592182;86,74698795180723;99,58766935008836;92,94584634754088;35,38083538083538
