;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;115;64761;894;23;11,397423191278493;98,60623470581977;83,33333333333333;98,63833676033813;90,66345127279705;20,05231037489102
pca-full;99;65451;202;39;32,89036544850498;99,63368849842684;71,73913043478261;99,69232175224285;84,56855487431758;45,102505694760815
mlp-1camadas-retro;116;64970;685;22;14,481897627965044;98,92541759761677;84,05797101449275;98,95666742822328;91,20360016124579;24,70713525026624
mlp-1camadas-full;103;65499;154;35;40,07782101167315;99,71272666474138;74,6376811594203;99,76543341507623;86,29171808444791;52,151898734177216
mlp-3camadas-retro;128;65112;543;10;19,076005961251862;99,15948505160124;92,7536231884058;99,17294950879598;95,90959487570395;31,644004944375773
mlp-3camadas-full;120;65537;116;18;50,847457627118644;99,79632472526637;86,95652173913044;99,823313481486;93,16806388900045;64,1711229946524
oc-svm-retro;123;38066;27589;15;0,44385103926096997;58,044168832550575;89,1304347826087;57,97882872591577;71,88656489586407;0,8833034111310593
oc-svm-full;112;52220;13433;26;0,8268733850129198;79,54279460716512;81,15942028985508;79,5393965241497;80,34532539049738;1,6370678944675874
if-retro;33;1065;64590;105;0,05106541014808969;1,6688705485385984;23,91304347826087;1,6221156042951794;6,228139447080165;0,10191318849307454
if-full;16;1880;63773;122;0,02508269450845757;2,8818531410071286;11,594202898550725;2,863540127640778;5,761984488699099;0,05005709637555336
ensemble-retro;128;64777;878;10;12,723658051689862;98,6503123432584;92,7536231884058;98,66270657223365;95,66255018631485;22,377622377622377
ensemble-full;120;65460;193;18;38,33865814696485;99,67928744053138;86,95652173913044;99,7060301890241;93,11331581280021;53,215077605321504
