;TP;TN;FP;FN;TP_rate;TN_rate;FP_rate;FN_rate;Precision;ACC;Sensitivity;Especificity;MG;F1
pca;146,0;37822,0;17152,0;17,0;89,57055214723927;68,79979626732637;31,20020373267363;10,429447852760736;0,8440282113539137;68,8612002829316;89,57055214723927;68,79979626732637;78,50118304383696;1,672298264704198
mlp-1camadas;148,0;41364,0;13610,0;15,0;90,79754601226992;75,24284207079711;24,757157929202897;9,202453987730062;1,075737752580317;75,28882601519851;90,79754601226992;75,24284207079711;82,65509914710138;2,126284031319589
mlp-3camadas;136,0;44034,0;10940,0;27,0;83,43558282208589;80,09968348673918;19,90031651326081;16,56441717791411;1,2278801011195375;80,10954531439867;83,43558282208589;80,09968348673918;81,75061942016521;2,420144140937806
ensemble;149,0;41474,0;13500,0;14,0;91,41104294478528;75,442936660967;24,557063339033;8,588957055214724;1,0916550663052238;75,49014273536827;91,41104294478528;75,442936660967;83,04406976417022;2,1575441644946425
oc-svm;100,0;11012,0;43962,0;63,0;0,6134969325153374;0,2003128751773565;0,7996871248226435;0,3865030674846625;0,2269529299623258;20,153435986723977;61,34969325153374;20,031287517735656;35,0558603466861;0,4522328999434709
if;145,0;436,0;54538,0;18,0;0,8895705521472392;0,0079310219376432;0,9920689780623568;0,1104294478527607;0,2651646764076587;1,0537388686363058;88,95705521472392;0,793102193764325;8,399525917670099;0,5287532363344637
