;TP;TN;FP;FN;TP_rate;TN_rate;FP_rate;FN_rate;Precision;ACC;Sensitivity;Especificity;MG;F1
pca;134,0;55886,0;9771,0;4,0;97,10144927536231;85,11811383401617;14,881886165983826;2,898550724637681;1,3528520949015648;85,14324796717075;97,10144927536231;85,11811383401617;90,91255255941412;2,668525341033556
mlp-1camadas;132,0;58150,0;7507,0;6,0;95,65217391304348;88,56633717653868;11,433662823461322;4,3478260869565215;1,7279748658201337;88,58119917926894;95,65217391304348;88,56633717653868;92,04109237971662;3,394625176803395
mlp-3camadas;130,0;60273,0;5384,0;8,0;94,20289855072464;91,79980809357724;8,200191906422774;5,797101449275362;2,357635110627493;91,804848392735;94,20289855072464;91,79980809357724;92,99359122442388;4,600141542816702
ensemble;133,0;57964,0;7693,0;5,0;96,3768115942029;88,28304674292154;11,716953257078451;3,6231884057971016;1,699463327370304;88,30002279808497;96,3768115942029;88,28304674292154;92,24119775298216;3,3400301356102458
oc-svm;121,0;21692,0;43965,0;17,0;0,8768115942028986;0,330383660538861;0,669616339461139;0,1231884057971014;0,2744635485188041;33,15297515008739;87,68115942028986;33,03836605388611;53,822321029073805;0,5472141823444284
if;59,0;763,0;64894,0;79,0;0,427536231884058;0,011621000045692;0,988378999954308;0,572463768115942;0,090834911397472;1,2493350558553082;42,7536231884058;1,1621000045692005;7,0486868069588855;0,1812846630102471
