;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;26;38433;1104;35;2,3008849557522124;97,12359210061115;42,622950819672134;97,20767888307155;64,3683005549132;4,36607892527288
pca-full;15;39161;374;46;3,8560411311053984;98,93928679664613;24,59016393442623;99,05400278234475;49,35336023797133;6,666666666666666
mlp-1camadas-retro;22;38754;783;39;2,732919254658385;97,9241375827062;36,0655737704918;98,019576599135;59,456978318684136;5,080831408775982
mlp-1camadas-full;12;39288;247;49;4,633204633204633;99,25244974239823;19,672131147540984;99,3752371316555;44,214507773715084;7,5
mlp-3camadas-retro;17;38777;760;44;2,187902187902188;97,9695944239608;27,868852459016395;98,07774995573766;52,28110885423868;4,057279236276849
mlp-3camadas-full;11;39295;240;50;4,382470119521912;99,26760278816042;18,0327868852459;99,39294296193246;42,33593932263615;7,05128205128205
oc-svm-retro;27;23886;15651;34;0,17221584385763491;60,389413606747816;44,26229508196721;60,414295470066016;51,71146268735025;0,3430967659952983
oc-svm-full;15;32363;7172;46;0,20871017114234033;81,77088594807556;24,59016393442623;81,85911217908182;44,86567717097569;0,4139072847682119
if-retro;52;853;38684;9;0,13424204874019;2,2854689630789435;85,24590163934427;2,15747274704707;13,561552624398889;0,268061963553883
if-full;44;1492;38043;17;0,11552498227741749;3,87917971512274;72,1311475409836;3,773871253319843;16,49889887761878;0,23068050749711647
ensemble-retro;30;38468;1069;31;2,72975432211101;97,22208192332945;49,18032786885246;97,29620355616258;69,17412226610963;5,172413793103448
ensemble-full;20;39150;385;41;4,938271604938271;98,92413375088393;32,78688524590164;99,02617933476667;56,98034729789799;8,583690987124463
