;TP;TN;FP;FN;TP_rate;TN_rate;FP_rate;FN_rate;Precision;ACC;Sensitivity;Especificity;MG;F1
pca;154;33507;21467;9;0,9447852760736196;0,609506312074799;0,390493687925201;0,0552147239263803;0,7122704777762361;61,04974880751583;94,47852760736195;60,9506312074799;75,88495169150487;1,4138817480719794
mlp-1camadas;150;37008;17966;13;0,9202453987730062;0,6731909630006913;0,3268090369993087;0,0797546012269938;0,8279973504084787;67,39213232493607;92,0245398773006;67,31909630006912;78,70837860081701;1,6412276382734283
mlp-3camadas;142;42405;12569;21;0,8711656441717791;0,7713646451049587;0,2286353548950413;0,1288343558282208;1,1171426323656677;77,16596840597059;87,11656441717791;77,13646451049587;81,97477526313793;2,205996582258816
ensemble;150;37257;17717;13;0,9202453987730062;0,6777203769054462;0,3222796230945537;0,0797546012269938;0,8395365758101528;67,84373469720877;92,0245398773006;67,77203769054462;78,97272051170229;1,663893510815308
oc-svm;134;11896;43078;29;0,8220858895705522;0,2163932040601011;0,7836067959398989;0,1779141104294478;0,3100990465611404;21,818379672452256;82,20858895705521;21,63932040601012;42,17745839388266;0,6178674351585015
if;97;1403;53571;66;0,5950920245398773;0,0255211554553061;0,9744788445446938;0,4049079754601227;0,1807408511589774;2,7204962185102564;59,50920245398773;2,5521155455306146;12,323731605522358;0,3603871375229886
