;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1
pca-retro;138;56726;6107;27;2,2097678142514012;90,26318295818915;83,63636363636364;90,28058504289147;86,8949931811432;4,305772230889236
pca-full;128;59845;2986;37;4,110468850353244;95,2012826211188;77,57575757575758;95,24756887523675;85,95872447137428;7,807258310460508
mlp-1camadas-retro;123;60153;2680;42;4,388155547627542;95,6792279119972;74,54545454545455;95,73472538315853;84,47833224840448;8,288409703504042
mlp-1camadas-full;118;61620;1211;47;8,878856282919488;98,00304781255953;71,51515151515152;98,07260747083446;83,74770076105199;15,796519410977242
mlp-3camadas-retro;118;60457;2376;47;4,731355252606255;96,15384615384616;71,51515151515152;96,21854757850174;82,95229959828941;8,875517111696126
mlp-3camadas-full;113;61754;1077;52;9,495798319327731;98,20782271890279;68,48484848484848;98,2858779901641;82,0432414179053;16,678966789667896
oc-svm-retro;146;32192;30641;19;0,47422613440737976;51,33178831074002;88,48484848484848;51,234224054239014;67,33091825215307;0,9433962264150945
oc-svm-full;132;45477;17354;33;0,7548896259865034;72,39983491015303;80,0;72,3798761757731;76,09461277949872;1,495665967933828
if-retro;65;1276;61557;100;0,10548180844503587;2,1286390044128387;39,39393939393939;2,030780004137953;8,944295634952732;0,2104002460064415
if-full;53;2236;60595;112;0,0873895264476982;3,6335640358117978;32,121212121212125;3,5587528449332337;10,691653521278527;0,17430483613701017
ensemble-retro;136;57665;5168;29;2,5641025641025643;91,75053176291311;82,42424242424242;91,7750226791654;86,97405772871515;4,9734869263119394
ensemble-full;126;60401;2430;39;4,929577464788732;96,08070353673249;76,36363636363636;96,13248237335074;85,67978715363523;9,261300992282248
