,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,84.7538660775501,148.0,90.24390243902441,77731.48,84.74405014990461,13993.52,15.255949850095394,16.0,9.75609756097561,84.7538660775501,90.24390243902441,84.74405014990461,87.44905931993104,1.047849121983799,2.0716125470814006
Desvio Padrão,0.5618514036490888,1.324802642213672,0.8078064891546775,516.6517889453285,0.5632616941350005,516.6517889453285,0.5632616941349997,1.324802642213672,0.8078064891546779,0.5618514036490888,0.8078064891546775,0.5632616941350005,0.4165347314782712,0.0370360388180976,0.07236501109707748
Máximo,85.89167364972957,151.0,92.07317073170732,78778.0,85.8849822840011,14940.0,16.287816843826654,19.0,11.585365853658537,85.89167364972957,92.07317073170732,85.8849822840011,88.43627467891491,1.1226515961509087,2.2175290390707496
Mínimo,83.72384072086975,145.0,88.41463414634147,76785.0,83.71218315617334,12947.0,14.11501771599891,13.0,7.926829268292683,83.72384072086975,88.41463414634147,83.71218315617334,86.53233363301277,0.9809119830328739,1.9407290847102023
Mediana,84.70328330921004,148.0,90.2439024390244,77686.5,84.69501226492233,14038.5,15.304987735077678,16.0,9.75609756097561,84.70328330921004,90.2439024390244,84.69501226492233,87.39961855013163,1.0411246964967047,2.058657280094762
