,Acurácia,Num_VP,VP_rate,Num_VN,VN_rate,Num_FP,FP_rate,Num_FN,FN_rate,ACC2,Sensibilidade,Especificidade,MG,Precisão,F1
Média,87.56556279859394,143.46,87.47560975609757,80319.66,87.56572363041704,11405.34,12.434276369582992,20.54,12.524390243902442,87.56556279859394,87.47560975609757,87.56572363041704,87.51994071931118,1.2435057611184988,2.452115871008352
Desvio Padrão,0.42461958972478087,0.7059513771774764,0.43045815681554034,390.4538756109252,0.4256787959781139,390.4538756109252,0.42567879597811414,0.7059513771774762,0.4304581568155342,0.42461958972478087,0.43045815681554034,0.4256787959781139,0.23670709983785218,0.039623753568891626,0.07700764009570786
Máximo,88.32939742515427,145.0,88.41463414634147,81022.0,88.33142545652767,12612.0,13.749795584627964,23.0,14.024390243902438,88.32939742515427,88.41463414634147,88.33142545652767,88.06270824775922,1.3184584178498986,2.59763851044505
Mínimo,86.25297913787287,141.0,85.97560975609755,79113.0,86.25020441537204,10703.0,11.668574543472335,19.0,11.585365853658537,86.25297913787287,85.97560975609755,86.25020441537204,86.86491714406299,1.1288805268109126,2.2291021671826625
Mediana,87.62528703109186,144.0,87.8048780487805,80375.0,87.62605614608886,11350.0,12.373943853911147,20.0,12.195121951219512,87.62528703109186,87.8048780487805,87.62605614608886,87.51750298968378,1.2442563275644587,2.453621523388965
