;cov-full;time-full;freq-full;cov-time-full;cov-freq-full;time-freq-full;cov-time-freq-full;cov-reduced;time-reduced;freq-reduced;cov-time-reduced;cov-freq-reduced;time-freq-reduced;cov-time-freq-reduced
pca;38,930673968304376;77,01275426752338;24,560067068041143;75,34063856437243;44,196657357189146;77,00961812346307;73,70187600621756;39,29051789082288;77,0188242237691;27,840981243254742;73,71599497735997;36,01308761757949;73,7295765044598;76,99027013792981
mlp-1camadas;28,65299212771453;81,93971494838672;32,7635601744532;63,906548690875454;36,028863180947305;75,3836909936195;62,266989450963344;29,461850076226874;83,57944490581825;36,04134452847759;65,54641775147094;36,03177170164838;77,02414175835521;63,908091471421244
mlp-3camadas;23,124978491872934;78,6627778590883;31,128407975690326;77,01239386387128;37,67088834058425;78,65608193860471;77,00270722536247;24,568299446199415;75,38773130824556;31,128711473502612;58,99322644295174;34,40029309098839;70,46546219773047;62,26638245533877
ensemble;31,4890796760534;83,5792931569121;32,76569098201029;75,37415610401683;36,02752273227637;78,65959113205928;72,08733636720582;29,465112677708955;80,30213476712555;34,405117441629535;65,54613322227192;36,03165788996878;77,0229024756217;63,905271470915416
oc-svm;44,1087757719189;65,42191409685145;55,58961063137911;63,78220943090429;58,86290574693009;68,70371347401756;63,78446669588317;44,10871254320801;65,42191409685145;55,58968650583218;63,78217781654884;58,86291839267227;68,70373244263082;63,784352884203564
if;99,75352816206784;83,36007289337483;96,47636977228127;99,75501403677382;98,1144494603585;96,47622434624623;96,47561735062165;93,19720703235943;91,55631998951856;93,19525326519283;93,19665061970358;94,835312011921;91,55603546031953;94,83585577883468
